,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
336,Sushant36581695,"Making the miracle happen. It's never too late to be what you might have been. Here to make myself successful. I'm here for respect, not for attention.",,483,64,12469,6,"Who is your favourite? Drop your answers in the comments!

#Fanzania #FantasyCricket #CricketFans #T20Series #T20Cricket #CricketLovers #CricketStats #FantasySports #MobileGaming #Internetgames #OnlineGame #GamesToPlay #OnlineCricket #Subscriptions #WinPrizes #CommentBelow https://t.co/sD3nYpNStj","['Fanzania', 'FantasyCricket', 'CricketFans', 'T20Series', 'T20Cricket']"
337,Harshpr01180227,"Biggest fan of Sachin Tendulkar.
Life is the art of drawing without an eraser.",India,2838,1098,57170,28,"It's IPL season! 🏏
And we are offering Giveaways for all! 🎁
Just comment the right answer and take real cash with
you! 💰💰

#sprintersonlinegames #fantasy #games #onlinegame
#dreamteam #prediction #cricket #IPL #IPL2022 #T20
#fantasycricket #winbig #fantasysports
 #GIVEAWAY https://t.co/E9R0KSzNj0",[]
338,HJ2188,,,1036,257,6925,28,"It's IPL season! 🏏
And we are offering Giveaways for all! 🎁
Just comment the right answer and take real cash with
you! 💰💰

#sprintersonlinegames #fantasy #games #onlinegame
#dreamteam #prediction #cricket #IPL #IPL2022 #T20
#fantasycricket #winbig #fantasysports
 #GIVEAWAY https://t.co/E9R0KSzNj0",[]
339,navya_ruchi,be honest and hate fake people  Happy mother of beautiful angel my jaan 😘😘😘#contestplayer,Amritsar,1139,446,13887,15,"It's IPL season! 🏏
And we are offering Giveaways for all! 🎁
Just comment the right answer and take real cash with
you! 💰💰

#sprintersonlinegames #fantasy #games #onlinegame
#dreamteam #prediction #cricket #IPL #IPL2022 #T20
#fantasycricket #winbig #fantasysports
#GIVEAWAY https://t.co/jKqOH8uM7m",[]
340,wpbot_rt,"I retweet tweets with #WordPress, https://t.co/BrUuKKEmqA or WordCamp \ created by @gkloveweb \ hit follow button to get updates every minute! 🤖",ZWFydGg=,1,1011,128627,2,"Football World Cup Quiz - HTML5 Game
https://t.co/V0TU7cmDsH

#android #capx #codecanyon #construct2 #football #games #html5 #ios #iphone #kids #mobile #onlinegame #quiz #relaxing #soccer #solving #thinking #uncertainstudio #wordpress https://t.co/Mm9th4ae5o","['android', 'capx', 'codecanyon', 'construct2', 'football', 'games']"
341,CodelibApp,"Discover 38,000+ scripts, plugins and code from $2
Unique code, scripts and plugins made by world-class creators.",,3,115,23531,2,"Football World Cup Quiz - HTML5 Game
https://t.co/V0TU7cmDsH

#android #capx #codecanyon #construct2 #football #games #html5 #ios #iphone #kids #mobile #onlinegame #quiz #relaxing #soccer #solving #thinking #uncertainstudio #wordpress https://t.co/Mm9th4ae5o","['android', 'capx', 'codecanyon', 'construct2', 'football', 'games', 'html5', 'ios', 'iphone', 'kids', 'mobile', 'onlinegame', 'quiz', 'relaxing', 'soccer', 'solving', 'thinking', 'uncertainstudio', 'wordpress']"
342,ParsonRex,More like Rex Lapis haha,broke,1261,1705,156925,9,"Get your game on. The winner takes it all!  🔥🔥
Comment the right answer and get to win real CASH.
#sprintersonlinegames #fantasy #games #onlinegame #dreamteam #prediction #cricket #IPL #IPL2022 #T20 #fantasycricket #winbig #fantasysports #IndianPremierLeague #GIVEAWAY #RCBvsMI https://t.co/y8vL8GydrY",[]
343,LeoNewman19,In need of primos 😢,,1191,1667,157110,9,"Get your game on. The winner takes it all!  🔥🔥
Comment the right answer and get to win real CASH.
#sprintersonlinegames #fantasy #games #onlinegame #dreamteam #prediction #cricket #IPL #IPL2022 #T20 #fantasycricket #winbig #fantasysports #IndianPremierLeague #GIVEAWAY #RCBvsMI https://t.co/y8vL8GydrY",[]
344,sapnajhamtani,,Kota,1710,182,26214,9,"Get your game on. The winner takes it all!  🔥🔥
Comment the right answer and get to win real CASH.
#sprintersonlinegames #fantasy #games #onlinegame #dreamteam #prediction #cricket #IPL #IPL2022 #T20 #fantasycricket #winbig #fantasysports #IndianPremierLeague #GIVEAWAY #RCBvsMI https://t.co/y8vL8GydrY",[]
345,sapnajhamtani,,Kota,1710,182,26214,28,"It's IPL season! 🏏
And we are offering Giveaways for all! 🎁
Just comment the right answer and take real cash with
you! 💰💰

#sprintersonlinegames #fantasy #games #onlinegame
#dreamteam #prediction #cricket #IPL #IPL2022 #T20
#fantasycricket #winbig #fantasysports
 #GIVEAWAY https://t.co/E9R0KSzNj0",[]
346,umesh97705207,,"Mumbai, Maharashtra",4673,1142,252032,28,"It's IPL season! 🏏
And we are offering Giveaways for all! 🎁
Just comment the right answer and take real cash with
you! 💰💰

#sprintersonlinegames #fantasy #games #onlinegame
#dreamteam #prediction #cricket #IPL #IPL2022 #T20
#fantasycricket #winbig #fantasysports
 #GIVEAWAY https://t.co/E9R0KSzNj0",[]
347,GamesSprinters,"Let the Games Begin!
Sprinters bring you the ultimate Gaming you have never experienced before.
Hurry, join now and get a chance to win REAL prizes!",,0,65,92,28,"It's IPL season! 🏏
And we are offering Giveaways for all! 🎁
Just comment the right answer and take real cash with
you! 💰💰

#sprintersonlinegames #fantasy #games #onlinegame
#dreamteam #prediction #cricket #IPL #IPL2022 #T20
#fantasycricket #winbig #fantasysports
 #GIVEAWAY https://t.co/E9R0KSzNj0","['sprintersonlinegames', 'fantasy', 'games', 'onlinegame', 'dreamteam', 'prediction', 'cricket', 'IPL', 'IPL2022', 'T20', 'fantasycricket', 'winbig', 'fantasysports', 'GIVEAWAY']"
348,gurdeepradio,,maharashtra,2558,311,11865,8,"Brace yourself to win BIG! 🎁
Hurry! Post your answer in the comment section below.
#sprintersonlinegames #fantasy #games #onlinegame #dreamteam #prediction #cricket #IPL #IPL2022 #T20 #fantasycricket #winbig #fantasysports #IndianPremierLeague #GIVEAWAY #RCBvsMI #MIvsRCB #RCB https://t.co/digHMErPVe","['sprintersonlinegames', 'fantasy']"
349,gurdeepradio,,maharashtra,2558,311,11865,0,"@GamesSprinters @GamesSprinters

Mumbai Indians captain Rohit Sharma will take more DRS

#sprintersonlinegames #fantasy #games #onlinegame #dreamteam #prediction #cricket #IPL #IPL2022 #T20 #fantasycricket #winbig #fantasysports #IndianPremierLeague #GIVEAWAY #RCBvsMI #MIvsRCB #RCB #MI","['sprintersonlinegames', 'fantasy', 'games', 'onlinegame', 'dreamteam', 'prediction', 'cricket', 'IPL', 'IPL2022', 'T20', 'fantasycricket', 'winbig', 'fantasysports', 'IndianPremierLeague', 'GIVEAWAY', 'RCBvsMI', 'MIvsRCB', 'RCB', 'MI']"
350,umesh97705207,,"Mumbai, Maharashtra",4673,1142,252032,15,"It's IPL season! 🏏
And we are offering Giveaways for all! 🎁
Just comment the right answer and take real cash with
you! 💰💰

#sprintersonlinegames #fantasy #games #onlinegame
#dreamteam #prediction #cricket #IPL #IPL2022 #T20
#fantasycricket #winbig #fantasysports
#GIVEAWAY https://t.co/jKqOH8uM7m",[]
351,GamesSprinters,"Let the Games Begin!
Sprinters bring you the ultimate Gaming you have never experienced before.
Hurry, join now and get a chance to win REAL prizes!",,0,65,92,15,"It's IPL season! 🏏
And we are offering Giveaways for all! 🎁
Just comment the right answer and take real cash with
you! 💰💰

#sprintersonlinegames #fantasy #games #onlinegame
#dreamteam #prediction #cricket #IPL #IPL2022 #T20
#fantasycricket #winbig #fantasysports
#GIVEAWAY https://t.co/jKqOH8uM7m","['sprintersonlinegames', 'fantasy', 'games', 'onlinegame', 'dreamteam', 'prediction', 'cricket', 'IPL', 'IPL2022', 'T20', 'fantasycricket', 'winbig', 'fantasysports', 'GIVEAWAY']"
352,umesh97705207,,"Mumbai, Maharashtra",4673,1142,252032,15,"It's IPL season! 🏏
And we are offering Giveaways for all! 🎁
Just comment the right answer and take real cash with
you! 💰💰

#sprintersonlinegames #fantasy #games #onlinegame
#dreamteam #prediction #cricket #IPL #IPL2022 #T20
#fantasycricket #winbig #fantasysports
#GIVEAWAY https://t.co/cTjVDcvQMf",[]
353,NaveenV41303135,,,65,21,7521,6,"Who is your favourite? Drop your answers in the comments!

#Fanzania #FantasyCricket #CricketFans #T20Series #T20Cricket #CricketLovers #CricketStats #FantasySports #MobileGaming #Internetgames #OnlineGame #GamesToPlay #OnlineCricket #Subscriptions #WinPrizes #CommentBelow https://t.co/sD3nYpNStj","['Fanzania', 'FantasyCricket', 'CricketFans', 'T20Series', 'T20Cricket']"
354,GamesSprinters,"Let the Games Begin!
Sprinters bring you the ultimate Gaming you have never experienced before.
Hurry, join now and get a chance to win REAL prizes!",,0,65,92,15,"It's IPL season! 🏏
And we are offering Giveaways for all! 🎁
Just comment the right answer and take real cash with
you! 💰💰

#sprintersonlinegames #fantasy #games #onlinegame
#dreamteam #prediction #cricket #IPL #IPL2022 #T20
#fantasycricket #winbig #fantasysports
#GIVEAWAY https://t.co/cTjVDcvQMf","['sprintersonlinegames', 'fantasy', 'games', 'onlinegame', 'dreamteam', 'prediction', 'cricket', 'IPL', 'IPL2022', 'T20', 'fantasycricket', 'winbig', 'fantasysports', 'GIVEAWAY']"
355,FCRPsupergiants,"Super Fans of Rising Pune Supergiants

#SuperGiants","Pune, India",71,3513,151320,27,"Giveaways for All!🎁
Enter now and the reward shall be yours.

#sprintersonlinegames #fantasy #games #onlinegame #dreamteam #prediction #cricket #IPL #IPL2022 #T20 #fantasycricket #winbig #fantasysports #IndianPremierLeague #GIVEAWAY #giveawaytime #wincash #winrealcash https://t.co/0SEzDwRgsL","['sprintersonlinegames', 'fantasy', 'games', 'onlinegame']"
356,FCRPsupergiants,"Super Fans of Rising Pune Supergiants

#SuperGiants","Pune, India",71,3513,151320,2,"@GamesSprinters GUJARAT TITANS.

#sprintersonlinegames #fantasy #games #onlinegame #dreamteam #prediction #cricket #IPL #IPL2022 #fantasycricket #winbig #fantasysports #IndianPremierLeague #GIVEAWAY #winrealcash

Tag   @Sagar2612  @Sagar14Naik  @Manisha10832911","['sprintersonlinegames', 'fantasy', 'games', 'onlinegame', 'dreamteam', 'prediction', 'cricket']"
357,dGujaratLionsFC,Official Twitter Fan Club of the IPL franchise Gujarat Lions.,"Rajkot, India",9,3447,133754,27,"Giveaways for All!🎁
Enter now and the reward shall be yours.

#sprintersonlinegames #fantasy #games #onlinegame #dreamteam #prediction #cricket #IPL #IPL2022 #T20 #fantasycricket #winbig #fantasysports #IndianPremierLeague #GIVEAWAY #giveawaytime #wincash #winrealcash https://t.co/0SEzDwRgsL","['sprintersonlinegames', 'fantasy', 'games', 'onlinegame']"
358,dGujaratLionsFC,Official Twitter Fan Club of the IPL franchise Gujarat Lions.,"Rajkot, India",9,3447,133754,2,"@GamesSprinters GUJARAT TITANS.

#sprintersonlinegames #fantasy #games #onlinegame #dreamteam #prediction #cricket #IPL #IPL2022 #fantasycricket #winbig #fantasysports #IndianPremierLeague #GIVEAWAY #winrealcash

Tag   @Sagar2612  @Sagar14Naik  @Manisha10832911","['sprintersonlinegames', 'fantasy', 'games', 'onlinegame', 'dreamteam', 'prediction', 'cricket']"
359,umesh97705207,,"Mumbai, Maharashtra",4673,1142,252032,2,"@GamesSprinters GUJARAT TITANS.

#sprintersonlinegames #fantasy #games #onlinegame #dreamteam #prediction #cricket #IPL #IPL2022 #fantasycricket #winbig #fantasysports #IndianPremierLeague #GIVEAWAY #winrealcash

Tag   @Sagar2612  @Sagar14Naik  @Manisha10832911","['sprintersonlinegames', 'fantasy', 'games', 'onlinegame', 'dreamteam', 'prediction', 'cricket', 'IPL', 'IPL2022', 'fantasycricket', 'winbig', 'fantasysports', 'IndianPremierLeague', 'GIVEAWAY', 'winrealcash']"
360,umesh97705207,,"Mumbai, Maharashtra",4673,1142,252032,27,"Giveaways for All!🎁
Enter now and the reward shall be yours.

#sprintersonlinegames #fantasy #games #onlinegame #dreamteam #prediction #cricket #IPL #IPL2022 #T20 #fantasycricket #winbig #fantasysports #IndianPremierLeague #GIVEAWAY #giveawaytime #wincash #winrealcash https://t.co/0SEzDwRgsL","['sprintersonlinegames', 'fantasy', 'games', 'onlinegame']"
361,gamesgebirges,All media are copyrighted by their respective copyright owners.,,11,31,792,1,"Credits: Grand Theft Auto V &amp; Rockstar

#gamesgebirges #game #gamer #games #gaming #gameplay #gameplays #pc #pcgame #pcgames #mobilegame #mobilegames #onlinegame #onlinegames #videogame #videogames #grandtheftauto #grandtheftautov #grandtheftauto5 #gta #gtav #gta5 #rockstar https://t.co/KzSATpeGsy","['gamesgebirges', 'game', 'gamer', 'games', 'gaming', 'gameplay', 'gameplays', 'pc', 'pcgame', 'pcgames', 'mobilegame', 'mobilegames', 'onlinegame', 'onlinegames', 'videogame', 'videogames', 'grandtheftauto', 'grandtheftautov', 'grandtheftauto5', 'gta', 'gtav', 'gta5', 'rockstar']"
362,Shailes31441206,"#contest lover
#cricket lover","Bhilwara,(Raj.). India",1413,293,25737,0,"@GamesSprinters @GamesSprinters

Mumbai Indians captain Rohit Sharma will take more DRS

#sprintersonlinegames #fantasy #games #onlinegame #dreamteam #prediction #cricket #IPL #IPL2022 #T20 #fantasycricket #winbig #fantasysports #IndianPremierLeague #GIVEAWAY #RCBvsMI #MIvsRCB #RCB #MI","['sprintersonlinegames', 'fantasy', 'games', 'onlinegame', 'dreamteam', 'prediction', 'cricket', 'IPL', 'IPL2022', 'T20', 'fantasycricket', 'winbig', 'fantasysports', 'IndianPremierLeague', 'GIVEAWAY', 'RCBvsMI', 'MIvsRCB', 'RCB', 'MI']"
363,Shailes31441206,"#contest lover
#cricket lover","Bhilwara,(Raj.). India",1413,293,25737,8,"Brace yourself to win BIG! 🎁
Hurry! Post your answer in the comment section below.
#sprintersonlinegames #fantasy #games #onlinegame #dreamteam #prediction #cricket #IPL #IPL2022 #T20 #fantasycricket #winbig #fantasysports #IndianPremierLeague #GIVEAWAY #RCBvsMI #MIvsRCB #RCB https://t.co/digHMErPVe","['sprintersonlinegames', 'fantasy']"
364,football_bot_PT,"Football news in Portuguese / Notícias de Futebol em Português
#football #futebol #Portuguese #Portugal #Brazil #Followback #TeamFollowBack",,7564,6959,343528,0,"What is Trophy Manager? https://t.co/L5LUwlJkSc #TrophyManager #football #soccer #game #onlinegame
Sign up https://t.co/sfdcBKW8Cx","['TrophyManager', 'football', 'soccer', 'game', 'onlinegame']"
365,janaki90,,,13,0,66,181,"The game's public beta is coming soon! 😯

Just under 30 days then we can all try the game out! 🕹🎮

Be sure to follow us for more sneak peaks at gameplay and champion showcases!! 😝💥

#Moba #Mobilegame #Onlinegame #videoGame #sneakpeak #Trailer https://t.co/BGABWTPNHx",[]
366,DineshK08630019,,,44,5,271,181,"The game's public beta is coming soon! 😯

Just under 30 days then we can all try the game out! 🕹🎮

Be sure to follow us for more sneak peaks at gameplay and champion showcases!! 😝💥

#Moba #Mobilegame #Onlinegame #videoGame #sneakpeak #Trailer https://t.co/BGABWTPNHx",[]
367,lanka_dj,Business Student 🙂😍❤️,sriLanka ,349,4,89,181,"The game's public beta is coming soon! 😯

Just under 30 days then we can all try the game out! 🕹🎮

Be sure to follow us for more sneak peaks at gameplay and champion showcases!! 😝💥

#Moba #Mobilegame #Onlinegame #videoGame #sneakpeak #Trailer https://t.co/BGABWTPNHx",[]
368,PinjaniSimran,,"Indore, India",550,90,3544,0,"@GamesSprinters @GamesSprinters

Mumbai Indians captain Rohit Sharma will take more DRS

#sprintersonlinegames #fantasy #games #onlinegame #dreamteam #prediction #cricket #IPL #IPL2022 #T20 #fantasycricket #winbig #fantasysports #IndianPremierLeague #GIVEAWAY #RCBvsMI #MIvsRCB #RCB #MI","['sprintersonlinegames', 'fantasy', 'games', 'onlinegame', 'dreamteam', 'prediction', 'cricket', 'IPL', 'IPL2022', 'T20', 'fantasycricket', 'winbig', 'fantasysports', 'IndianPremierLeague', 'GIVEAWAY', 'RCBvsMI', 'MIvsRCB', 'RCB', 'MI']"
369,PinjaniSimran,,"Indore, India",550,90,3544,0,"@GamesSprinters @GamesSprinters

Mumbai Indians captain Rohit Sharma will take more DRS

#sprintersonlinegames #fantasy #games #onlinegame #dreamteam #prediction #cricket #IPL #IPL2022 #T20 #fantasycricket #winbig #fantasysports #IndianPremierLeague #GIVEAWAY #RCBvsMI #MIvsRCB #RCB #MI","['sprintersonlinegames', 'fantasy', 'games', 'onlinegame', 'dreamteam', 'prediction', 'cricket', 'IPL', 'IPL2022', 'T20', 'fantasycricket', 'winbig', 'fantasysports', 'IndianPremierLeague', 'GIVEAWAY', 'RCBvsMI', 'MIvsRCB', 'RCB', 'MI']"
370,ElderWolfGames,Aficionado del Gaming y los eSports.,Puerto Rico,788,197,20601,1,"As #NCsoft prepares #ThroneAndLiberty for its global debut on #PC and #consoles later this year, here is a first look at the finalized logo!

More info: https://t.co/u6bpilAatN

#ProjectTL #TL #NC #MMORPG #MMO #RPG #OnlineRPG #OnlineGame #Game #Console","['NCsoft', 'ThroneAndLiberty', 'PC', 'consoles']"
371,mmo_culture,"Random news mostly related to online games from Asia since 2009. New to Twitter and learning the ropes.

Support us on Patreon: https://t.co/JOrH3BGHcn",Somewhere creepy,0,815,1371,1,"As #NCsoft prepares #ThroneAndLiberty for its global debut on #PC and #consoles later this year, here is a first look at the finalized logo!

More info: https://t.co/u6bpilAatN

#ProjectTL #TL #NC #MMORPG #MMO #RPG #OnlineRPG #OnlineGame #Game #Console","['NCsoft', 'ThroneAndLiberty', 'PC', 'consoles', 'ProjectTL', 'TL', 'NC', 'MMORPG', 'MMO', 'RPG', 'OnlineRPG', 'OnlineGame', 'Game', 'Console']"
372,THENFTSTAROFFIC,,,11,1,48,9,"👀A sneak-peek of NFTSTAR Mataverse play-to-earn football game.🧐

How do you like it?

#NFTSTAR #NFT #Metaverse #Metagoal #P2E #onlinegame #GamiFi #Football #Soccer #role #match #fantasyfootball #sneakpeek https://t.co/uBtda51fDF","['NFTSTAR', 'NFT', 'Metaverse', 'Metagoal']"
373,BurningDiscuss,"🙈🙉🙊 OFFICIAL TWITTER PAGE for the: 'Burning Discussion' webcast. 🐵💯🐒
All ""ASHES OF CREATION"" talk!  Airing every MONDAY at 9pm EST at link below.",Verra,2328,1763,3019,0,"eat, sleep, MMORPG, repeat!  Thats right! IM A GAMER!    @ShoutGamers #RealGamers #onlinegame #SmallStreamerCommunity #TwitchGirls #XboxOneX #following -&gt; Extermicide - https://t.co/2qIxJ2YGR6 https://t.co/zFRo1asE2x","['RealGamers', 'onlinegame', 'SmallStreamerCommunity', 'TwitchGirls', 'XboxOneX', 'following']"
374,jjgking753,럭셔리지,,342,32,819,9,"👀A sneak-peek of NFTSTAR Mataverse play-to-earn football game.🧐

How do you like it?

#NFTSTAR #NFT #Metaverse #Metagoal #P2E #onlinegame #GamiFi #Football #Soccer #role #match #fantasyfootball #sneakpeek https://t.co/uBtda51fDF","['NFTSTAR', 'NFT', 'Metaverse', 'Metagoal']"
375,football_bot_JP,"Football news in Japanese / 日本語でのサッカーニュース
#サッカー #football #soccer #Jリーグ #Jleague #J1 #J2 #日本代表 #daihyo #Japan #Japanese #Nippon
#Followback #TeamFollowBack",,5783,5128,181248,0,Trophy Manager is a free football manager game. https://t.co/Vwbi4F7hpC #football #soccer #onlinegame #TrophyManager,"['football', 'soccer', 'onlinegame', 'TrophyManager']"
376,CrimeEmpires,"Join Crime Empires and create the most respected mafia in the world. Build your own mafia empire, Start a family and become the very best!",,0,1965,248,0,"Click here to CLAIM your FREE 30 Diamonds, Prize will be added instantly once claimed! Enjoy Crime Empires!

Reward--&gt; https://t.co/WPGU8hn89P

#Free #Reward #Game #BrowserGame #OnlineGame https://t.co/8j5kNf2hj4","['Free', 'Reward', 'Game', 'BrowserGame', 'OnlineGame']"
377,ProZainKhawaja,Founder & CEO at Challau,United Kingdom,1150,992,15,53,"Make new friends again - meet up in your 3D home to play games, watch tv, chat and hangout. Create your luxury virtual home where you can invite others.

Get your free home from https://t.co/TifdI03T5s

#friends #onlinegame #movies #chat #social https://t.co/UewZCuyJEY",[]
378,amie5gk1,,,13,16,2717,6,"Who is your favourite? Drop your answers in the comments!

#Fanzania #FantasyCricket #CricketFans #T20Series #T20Cricket #CricketLovers #CricketStats #FantasySports #MobileGaming #Internetgames #OnlineGame #GamesToPlay #OnlineCricket #Subscriptions #WinPrizes #CommentBelow https://t.co/sD3nYpNStj","['Fanzania', 'FantasyCricket', 'CricketFans', 'T20Series', 'T20Cricket']"
379,Marksky0928,#DiorArmy,Australia,318,44,814,181,"The game's public beta is coming soon! 😯

Just under 30 days then we can all try the game out! 🕹🎮

Be sure to follow us for more sneak peaks at gameplay and champion showcases!! 😝💥

#Moba #Mobilegame #Onlinegame #videoGame #sneakpeak #Trailer https://t.co/BGABWTPNHx",[]
380,gadhiya_hema,,,1396,211,36687,0,"@GamesSprinters ➡️  GUJARAT TITANS

@GamesSprinters
#sprintersonlinegames #fantasy #games #onlinegame #dreamteam #prediction #cricket #IPL

Join here friends
@MayurMa46334426
@ramsapra54
@RubyAga9339","['sprintersonlinegames', 'fantasy', 'games', 'onlinegame', 'dreamteam', 'prediction', 'cricket', 'IPL']"
381,gadhiya_hema,,,1396,211,36687,9,"Get your game on. The winner takes it all!  🔥🔥
Comment the right answer and get to win real CASH.
#sprintersonlinegames #fantasy #games #onlinegame #dreamteam #prediction #cricket #IPL #IPL2022 #T20 #fantasycricket #winbig #fantasysports #IndianPremierLeague #GIVEAWAY #RCBvsMI https://t.co/y8vL8GydrY",[]
382,gadhiya_hema,,,1396,211,36687,0,"@GamesSprinters @GamesSprinters

Mumbai Indians captain Rohit Sharma will take more DRS

#sprintersonlinegames #fantasy #games #onlinegame #dreamteam #prediction #cricket #IPL #IPL2022 #T20 #fantasycricket #winbig #fantasysports #IndianPremierLeague #GIVEAWAY #RCBvsMI #MIvsRCB #RCB #MI","['sprintersonlinegames', 'fantasy', 'games', 'onlinegame', 'dreamteam', 'prediction', 'cricket', 'IPL', 'IPL2022', 'T20', 'fantasycricket', 'winbig', 'fantasysports', 'IndianPremierLeague', 'GIVEAWAY', 'RCBvsMI', 'MIvsRCB', 'RCB', 'MI']"
383,gadhiya_hema,,,1396,211,36687,0,"@GamesSprinters @GamesSprinters

Mumbai Indians captain Rohit Sharma will take more DRS

#sprintersonlinegames #fantasy #games #onlinegame #dreamteam #prediction #cricket #IPL #IPL2022 #T20 #fantasycricket #winbig #fantasysports #IndianPremierLeague #GIVEAWAY #RCBvsMI #MIvsRCB #RCB #MI","['sprintersonlinegames', 'fantasy', 'games', 'onlinegame', 'dreamteam', 'prediction', 'cricket', 'IPL', 'IPL2022', 'T20', 'fantasycricket', 'winbig', 'fantasysports', 'IndianPremierLeague', 'GIVEAWAY', 'RCBvsMI', 'MIvsRCB', 'RCB', 'MI']"
384,gadhiya_hema,,,1396,211,36687,8,"Brace yourself to win BIG! 🎁
Hurry! Post your answer in the comment section below.
#sprintersonlinegames #fantasy #games #onlinegame #dreamteam #prediction #cricket #IPL #IPL2022 #T20 #fantasycricket #winbig #fantasysports #IndianPremierLeague #GIVEAWAY #RCBvsMI #MIvsRCB #RCB https://t.co/digHMErPVe","['sprintersonlinegames', 'fantasy']"
385,gadhiya_hema,,,1396,211,36687,0,"@GamesSprinters MUMBAI INDIANS

@GamesSprinters

#sprintersonlinegames #fantasy #games #onlinegame #dreamteam #prediction #cricket #IPL #IPL2022 #T20 #fantasycricket #winbig #fantasysports #IndianPremierLeague #GIVEAWAY #RCBvsMI

Join here friends
@MayurMa46334426
@Rohith8977
@RubyAga9339","['sprintersonlinegames', 'fantasy', 'games', 'onlinegame', 'dreamteam', 'prediction', 'cricket', 'IPL', 'IPL2022', 'T20', 'fantasycricket', 'winbig', 'fantasysports', 'IndianPremierLeague', 'GIVEAWAY', 'RCBvsMI']"
386,gadhiya_hema,,,1396,211,36687,7,"Predict &amp; WIN BIG! 🎁
Just comment the right answer and take real cash with you!

#sprintersonlinegames #fantasy #games #onlinegame #dreamteam #prediction #cricket #IPL #IPL2022 #T20 #fantasycricket #winbig #fantasysports #IndianPremierLeague #GIVEAWAY #RCBvsMI #MIvsRCB #RCB #MI https://t.co/rmf1vaY6Mr","['sprintersonlinegames', 'fantasy', 'games']"
387,gadhiya_hema,,,1396,211,36687,11,"Play like a champion. Win like a champion. 🎯🏆
Comment the right answer and take the amazing reward to your home!

#sprintersonlinegames #fantasy #games #onlinegame #dreamteam #prediction #cricket #IPL #IPL2022 #T20 #fantasycricket #winbig #CSKvsSRH #SRHvsCSK #dhoni #jadeja https://t.co/PK4AJpBoNr",[]
388,gadhiya_hema,,,1396,211,36687,0,"@GamesSprinters @GamesSprinters

CHENNAI SUPER KINGS

#sprintersonlinegames #fantasy #games #onlinegame #dreamteam #prediction #cricket #IPL #IPL2022 #T20 #fantasycricket #winbig #CSKvsSRH #SRHvsCSK #dhoni #jadeja

Join Here friends
@MayurMa46334426
@RubyAga9339
@WadhvaniNaina","['sprintersonlinegames', 'fantasy', 'games', 'onlinegame', 'dreamteam', 'prediction', 'cricket', 'IPL', 'IPL2022', 'T20', 'fantasycricket', 'winbig', 'CSKvsSRH', 'SRHvsCSK', 'dhoni', 'jadeja']"
389,gadhiya_hema,,,1396,211,36687,5,"Brace yourself to win BIG!
Hurry! Post your answer in the comment section below.
#sprintersonlinegames #fantasy #games #onlinegame #dreamteam #prediction #cricket #IPL #IPL2022 #T20 #fantasycricket #winbig #CSKvsSRH #SRHvsCSK #dhoni #jadeja #Bravo #Williamson #pooran https://t.co/vohhTclcFL","['sprintersonlinegames', 'fantasy', 'games']"
390,gadhiya_hema,,,1396,211,36687,0,"@GamesSprinters ➡️  Ravindra Jadeja  from Chennai Super Kings

@GamesSprinters

#sprintersonlinegames #fantasy #games #onlinegame #dreamteam #prediction #cricket #IPL #IPL2022 #T20 #fantasycricket #winbig #lucknowsuoergiants

Join here friends
@MayurMa46334426
@RubyAga9339
@ramsapra54","['sprintersonlinegames', 'fantasy', 'games', 'onlinegame', 'dreamteam', 'prediction', 'cricket', 'IPL', 'IPL2022', 'T20', 'fantasycricket', 'winbig', 'lucknowsuoergiants']"
391,gadhiya_hema,,,1396,211,36687,4,"Are you in it to win it? 🔥🔥
Comment your answer and get a chance to win amazing cash rewards.

#sprintersonlinegames #fantasy #games #onlinegame #dreamteam #prediction #cricket #IPL #IPL2022 #T20 #fantasycricket #winbig #CSKvsSRH #SRHvsCSK  #fantasysports #IndianPremierLeague https://t.co/hZPGCO6BGv",['sprintersonlinegames']
392,gadhiya_hema,,,1396,211,36687,0,"@GamesSprinters CSK win the tods

@GamesSprinters

#sprintersonlinegames
#fantasy #games #onlinegame #dreamteam #prediction #cricket #IPL #IPL2022 #T20 #fantasycricket #winbig #CSKvsSRH #SRHvsCSK  #fantasysports #IndianPremierLeague

Join
@MayurMa46334426
@WadhvaniNaina","['sprintersonlinegames', 'fantasy', 'games', 'onlinegame', 'dreamteam', 'prediction', 'cricket', 'IPL', 'IPL2022', 'T20', 'fantasycricket', 'winbig', 'CSKvsSRH', 'SRHvsCSK', 'fantasysports', 'IndianPremierLeague']"
393,gadhiya_hema,,,1396,211,36687,8,"Enter to win!   🎁
Comment the right answer to win amazing rewards.

#sprintersonlinegames #fantasy #games #onlinegame #dreamteam #prediction #cricket #IPL #IPL2022 #T20 #fantasycricket #winbig #lucknowsupergiants  #fantasysports #IndianPremierLeague https://t.co/P3CbRD32Zj","['sprintersonlinegames', 'fantasy', 'games', 'onlinegame']"
394,gadhiya_hema,,,1396,211,36687,0,"@GamesSprinters ➡️  GUJARAT TITANS

@GamesSprinters

#sprintersonlinegames #fantasy #games #onlinegame #dreamteam #prediction #cricket #IPL

Join here friends
@MayurMa46334426
@ramsapra54
@RubyAga9339","['sprintersonlinegames', 'fantasy', 'games', 'onlinegame', 'dreamteam', 'prediction', 'cricket', 'IPL']"
